100;combined;646;1073;42;100;dp_quick;642;294;22;100;insertion;2752;2854;73;100;merge;537;1344;122;100;quick;622;230;19
200;combined;1475;2536;96;200;dp_quick;1443;634;46;200;insertion;9897;10098;254;200;merge;1271;3088;268;200;quick;1477;614;43
300;combined;2781;4340;143;300;dp_quick;2472;982;74;300;insertion;23031;23337;589;300;merge;2096;4976;368;300;quick;2633;1262;77
400;combined;3367;5851;302;400;dp_quick;3622;1268;101;400;insertion;39900;40307;1006;400;merge;2957;6976;512;400;quick;3959;1752;111
500;combined;4724;7834;268;500;dp_quick;4312;1882;131;500;insertion;60043;60549;1555;500;merge;3860;8976;632;500;quick;4590;1935;130
600;combined;6042;9749;311;600;dp_quick;5727;2649;175;600;insertion;92883;93492;2328;600;merge;4797;11152;758;600;quick;5607;2653;165
700;combined;7954;12281;378;700;dp_quick;6759;2907;201;700;insertion;126487;127194;3196;700;merge;5715;13352;842;700;quick;7175;3432;209
800;combined;7675;13478;455;800;dp_quick;8287;3421;237;800;insertion;160482;161288;4045;800;merge;6719;15552;975;800;quick;7918;3925;235
900;combined;8877;15379;509;900;dp_quick;9371;3967;268;900;insertion;196936;197838;4967;900;merge;7707;17752;1099;900;quick;9219;4412;268
1000;combined;10378;17602;900;1000;dp_quick;10935;4922;482;1000;insertion;247960;248970;6278;1000;merge;8747;19952;1350;1000;quick;11656;5248;450
1100;combined;11779;19694;625;1100;dp_quick;12431;4700;338;1100;insertion;305601;306709;7768;1100;merge;9728;22304;1339;1100;quick;11837;6320;354
1200;combined;13393;22011;684;1200;dp_quick;13006;5174;366;1200;insertion;364665;365872;9051;1200;merge;10783;24704;1744;1200;quick;12925;5577;364
1300;combined;14986;24312;938;1300;dp_quick;16258;5381;497;1300;insertion;422992;424296;10480;1300;merge;11837;27104;1576;1300;quick;15881;8784;470
1400;combined;16587;26626;798;1400;dp_quick;15471;5853;428;1400;insertion;486044;487450;17476;1400;merge;12893;29504;1994;1400;quick;15766;7981;462
1500;combined;18273;29015;861;1500;dp_quick;16892;6361;463;1500;insertion;557243;558748;14833;1500;merge;13945;31904;1908;1500;quick;16859;7008;466
1600;combined;16831;30031;1040;1600;dp_quick;18456;6607;496;1600;insertion;646873;648476;16354;1600;merge;15006;34304;2008;1600;quick;19622;9532;555
1700;combined;18059;32054;1044;1700;dp_quick;19397;7427;536;1700;insertion;734625;736336;18166;1700;merge;16096;36704;2121;1700;quick;20788;10000;587
1800;combined;19764;34616;1113;1800;dp_quick;23279;9223;623;1800;insertion;792050;793858;19541;1800;merge;17165;39104;2268;1800;quick;22141;10126;611
1900;combined;20928;36503;1164;1900;dp_quick;22040;8270;612;1900;insertion;891595;893502;22006;1900;merge;18345;41504;2372;1900;quick;22870;10009;630
2000;combined;22809;39276;1247;2000;dp_quick;27496;8921;684;2000;insertion;989346;991354;24410;2000;merge;19392;43904;2494;2000;quick;25247;11351;694
2100;combined;24274;41499;1292;2100;dp_quick;27769;9319;706;2100;insertion;1110398;1112504;27378;2100;merge;20545;46408;2624;2100;quick;27676;12647;769
2200;combined;25768;43819;1354;2200;dp_quick;26704;10561;743;2200;insertion;1211567;1213772;29877;2200;merge;21696;49008;2770;2200;quick;25259;12702;746
2300;combined;27477;46319;1422;2300;dp_quick;27725;10907;763;2300;insertion;1323880;1326186;32670;2300;merge;22835;51608;2904;2300;quick;27369;12033;760
